2025-04-14 13:28:14.633 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zja.log.log4j2.Log4j2ServiceTest], using SpringBootContextLoader
2025-04-14 13:28:14.645 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zja.log.log4j2.Log4j2ServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-04-14 13:28:14.646 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zja.log.log4j2.Log4j2ServiceTest]: Log4j2ServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-04-14 13:28:14.766 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zja.log.Log4j2ConfigApplication for test class com.zja.log.log4j2.Log4j2ServiceTest
2025-04-14 13:28:14.894 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-04-14 13:28:14.908 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4a67318f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@315ba14a, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@17f9344b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@27f0ad19, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@54e81b21, org.springframework.test.context.support.DirtiesContextTestExecutionListener@38d5b107, org.springframework.test.context.event.EventPublishingTestExecutionListener@6650813a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@44ea608c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@50cf5a23, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@450794b4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@273c947f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@30457e14, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1af1347d]
2025-04-14 13:28:15.265 [main] INFO  com.zja.log.log4j2.Log4j2ServiceTest - Starting Log4j2ServiceTest using Java 1.8.0_421 on LAPTOP-3VLAPN33 with PID 11660 (started by changjinyu in D:\Zhengja\project\github\w_java\spring-boot-starter-test-root\starter-log\starter-log4j2-config)
2025-04-14 13:28:15.271 [main] INFO  com.zja.log.log4j2.Log4j2ServiceTest - No active profile set, falling back to default profiles: default
2025-04-14 13:28:16.722 [main] INFO  com.zja.log.log4j2.Log4j2ServiceTest - Started Log4j2ServiceTest in 1.761 seconds (JVM running for 3.607)
2025-04-14 13:28:16.851 [main] INFO  com.zja.log.log4j2.Log4j2Service - log=info
2025-04-14 13:28:16.851 [main] WARN  com.zja.log.log4j2.Log4j2Service - log=warn
2025-04-14 13:28:16.851 [main] ERROR com.zja.log.log4j2.Log4j2Service - log=error
